127.0.0.1 - - [13/Sep/2021:10:01:12 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [13/Sep/2021:10:01:16 -0500] "GET /primerJSP/index.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [13/Sep/2021:10:01:16 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Sep/2021:10:02:22 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:13:59 -0500] "GET /primerJSP/index.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:14:11 -0500] "POST /primerJSP/comprobarUsuario.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:18:14 -0500] "POST /primerJSP/comprobarUsuario.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:20:24 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:20:24 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:20:24 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:20:24 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:11:20:32 -0500] "POST /primerJSP/comprobarUsuario.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [13/Sep/2021:17:17:12 -0500] "POST /primerJSP/comprobarUsuario.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:17:17:13 -0500] "GET /primerJSP/principal.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [13/Sep/2021:17:58:57 -0500] "GET /primerJSP/principal.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:00:56 -0500] "GET /primerJSP/principal.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:00:58 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:01:06 -0500] "POST /primerJSP/comprobarUsuario.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:01:06 -0500] "GET /primerJSP/principal.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:13:11 -0500] "GET /primerJSP/principal.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:13:13 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 500 7222
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:14:36 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:15:36 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:17:13 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:17:25 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:17:33 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:18:22 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:20:01 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:22:58 -0500] "GET /primerJSP/usuarios.jsp HTTP/1.1" 200 773
