127.0.0.1 - - [23/Sep/2021:19:49:51 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:49:52 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:49:52 -0500] "GET /primerJSP/style/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:49:53 -0500] "GET /primerJSP/style/styles.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:49:53 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:53:30 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:53:31 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:53:32 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:53:32 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:53:39 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:54:31 -0500] "GET /primerJSP/index.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:54:31 -0500] "GET /primerJSP/img/logo_header.png HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:54:32 -0500] "GET /primerJSP/img/logo_pestana.png HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:54:33 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:54:33 -0500] "GET /primerJSP/img/logo_header.png HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:56:07 -0500] "GET /primerJSP/index.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:56:07 -0500] "GET /primerJSP/img/logo_header.png HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:56:08 -0500] "GET /primerJSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:19:56:08 -0500] "GET /primerJSP/img/logo_header.png HTTP/1.1" 404 724
